Profundidad,Nodos,Branching factor
0,3,3.0
1,6,2.0
2,12,2.0
3,30,2.5
4,30,1.0
5,66,2.2
6,96,1.4545454545454546
7,126,1.3125
8,210,1.6666666666666667
9,330,1.5714285714285714
10,318,0.9636363636363636
11,462,1.4528301886792452
12,816,1.7662337662337662
13,1032,1.2647058823529411
14,936,0.9069767441860465
15,1044,1.1153846153846154
16,1752,1.6781609195402298
17,2610,1.4897260273972603
18,3036,1.1632183908045977
19,3528,1.1620553359683794
20,3306,0.9370748299319728
21,4578,1.3847549909255898
22,6318,1.380078636959371
23,9108,1.4415954415954415
24,10674,1.1719367588932805
25,11580,1.0848791455874087
26,11844,1.0227979274611398
27,13374,1.1291793313069909
28,17124,1.2803947958725885
29,23664,1.3819201121233358
30,32184,1.3600405679513186
31,36984,1.1491424310216256
32,39822,1.076735885788449
33,38544,0.9679071869820702
34,39936,1.0361145703611456
35,45936,1.1502403846153846
36,57990,1.2624085684430513
37,77262,1.3323331608898086
38,96366,1.2472625611555486
39,116052,1.2042836685137912
40,127092,1.095129769413711
41,122142,0.9610518364649231
42,112086,0.9176695976813872
43,116814,1.042181896044109
44,135078,1.156351122296985
45,157326,1.1647048372051703
46,192498,1.2235612676862058
47,246468,1.2803665492628495
48,304650,1.2360630994693023
49,354018,1.1620482520925652
50,388128,1.0963510329983222
51,415206,1.0697656443235222
52,427710,1.030115171746073
53,411804,0.9628112506137336
54,402504,0.9774164408310749
55,451236,1.1210720887245842
56,521094,1.154814775416855
57,600684,1.1527363585072943
58,714750,1.1898935213856203
59,883602,1.2362392444910808
60,1064970,1.2052598341787366
61,1228656,1.1537001042282882
62,1349322,1.098209751142712
63,1464336,1.0852383641562207
64,1539420,1.0512751171862196
65,1565604,1.0170090033908874
66,1554324,0.9927951129404371
67,1610436,1.0361005813459743
68,1702956,1.0574502805451442
69,1889394,1.1094790470217668
70,2143170,1.1343160822994038
71,2530788,1.1808619941488543
72,2984394,1.1792350840923855
73,3498924,1.17240686048826
74,4006014,1.1449274119700799
75,4533006,1.1315502142528708
